Net Status Report
Filename     : C:\Users\Adrian\Altium\Projects\Senior_DoorLock\Senior_DoorLock.PcbDoc
Date         : 10/19/2017
Time         : 2:37:35 AM
Time Elapsed : 00:00:00

Nets, Layer, Length
    12.0V, Signal Layers Only, 0mils
    5.0V, Signal Layers Only, 0mils
    GND, Signal Layers Only, 0mils
    Lock_Enable, Signal Layers Only, 0mils
    MagSense, Signal Layers Only, 0mils
    NetP3_2, Signal Layers Only, 0mils
    NetR1_1, Signal Layers Only, 0mils
    NetR1_2, Signal Layers Only, 0mils
    NetR2_1, Signal Layers Only, 0mils
    NetR2_2, Signal Layers Only, 0mils
count : 10
